image,object,center_x,center_y,area,drone_lat,drone_lon,heading,object_lat,object_lon,north_offset_m,east_offset_m
32,7,442.0,1924.5,2274.0,55.4761368,10.3284273,89.0,55.476199005399565,10.328361272584527,6.924673404462901,-4.1656866689567735
32,8,919.5,1934.5,18560.5,55.4761368,10.3284273,89.0,55.47617394963904,10.328361118466836,4.135478901213851,-4.175409993762898
32,9,820.0,1802.0,2410.5,55.4761368,10.3284273,89.0,55.47617929008901,10.328373220825075,4.729975072016497,-3.4118690915834584
32,10,522.0,1772.0,2162.5,55.4761368,10.3284273,89.0,55.47619494873593,10.328375515958255,6.4730876744588794,-3.267068547362993
32,11,693.0,1749.5,2045.0,55.4761368,10.3284273,89.0,55.476185999767075,10.328377874621278,5.476893018373761,-3.118259889054914
32,12,1377.5,2071.0,274812.0,55.4761368,10.3284273,89.0,55.47614980090311,10.328349225057085,1.447253913709603,-4.925768281887835
32,13,431.5,1762.0,8866.5,55.4761368,10.3284273,89.0,55.47619970494458,10.328376295272863,7.002546398838873,-3.217901387816092
32,14,585.0,1680.5,3190.5,55.4761368,10.3284273,89.0,55.47619172793342,10.328384086214932,6.1145495783607675,-2.726368843602818
32,15,388.0,1576.0,27498.0,55.4761368,10.3284273,89.0,55.47620215697529,10.328393439614755,7.275505209284838,-2.136260436760742
32,16,261.0,1363.0,7847.0,55.4761368,10.3284273,89.0,55.476209013604176,10.328412947958604,8.038781645243896,-0.9054739926082078
32,17,1006.0,1620.5,139870.0,55.4761368,10.3284273,89.0,55.476169699893255,10.328390319440635,3.662399364357081,-2.3331130266570557
32,18,1102.0,1230.5,2172.5,55.4761368,10.3284273,89.0,55.47616502142224,10.328426569690748,3.141594353446159,-0.0460753990238601
32,19,106.5,1199.5,36256.5,55.4761368,10.3284273,89.0,55.476217267386396,10.328427830567229,8.957588479392179,0.03347362335468859
32,20,921.0,1003.0,10167.0,55.4761368,10.3284273,89.0,55.476174723822666,10.328447332797449,4.221660628326846,1.2638743570604551
32,21,863.0,603.5,2018.0,55.4761368,10.3284273,89.0,55.47617813190753,10.328484213502332,4.601046900040917,3.5906875385674915
32,22,3165.5,639.5,4776.5,55.4761368,10.3284273,89.0,55.47605732448095,10.328484601320511,-8.847174311578389,3.61515508753739
32,23,2886.0,223.0,4768.5,55.4761368,10.3284273,89.0,55.476072366608065,10.328522697571927,-7.172692380406723,6.0186574133485395
32,24,2918.0,571.5,155940.0,55.4761368,10.3284273,89.0,55.476070369012035,10.328490495000787,-7.395063753354966,3.986988895973446
32,25,495.5,778.5,841653.5,55.4761368,10.3284273,89.0,55.47619724838703,10.328467423260305,6.72908366400666,2.5313868394219616
33,0,3120.0,2430.5,6856.5,55.4761369,10.3284265,131.0,55.47611955181387,10.328252894069726,-1.9311912457099476,-10.952842881649186
33,1,1140.0,2403.0,2201.5,55.4761369,10.3284265,131.0,55.47619700001883,10.328375057909309,6.6903034922661355,-3.2454947590423773
33,2,2635.5,2011.0,4028.0,55.4761369,10.3284265,131.0,55.476124296443636,10.328311623482824,-1.4030214766044806,-7.247589073904962
